"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"147","org.gjt.sp.jedit.options.TextAreaOptionPane",147,3,6,0,4,24,1,3,321,0
"118","org.gjt.sp.jedit.gui.HistoryTextField",118,21,6,0,17,83,64,9,589,2
"150","bsh.EvalError",150,11,3,2,51,20,0,9,137,0
"76","org.gjt.sp.jedit.gui.VariableGridLayout",76,17,1,0,1,37,100,16,691,0
"89","gnu.regexp.RETokenRange",89,4,2,0,4,9,0,0,80,0
"84","gnu.regexp.RETokenEnd",84,3,2,0,4,9,1,0,71,0
"98","gnu.regexp.REMatch",98,15,1,0,19,28,0,11,391,0
"137","org.gjt.sp.jedit.options.ToolBarAddDialog",137,13,7,0,10,72,44,4,631,0
"116","org.gjt.sp.jedit.browser.VFSFileChooserDialog",116,10,7,0,15,74,17,5,477,4
"109","org.gjt.sp.jedit.textarea.ScrollListener",109,2,1,0,3,2,1,2,2,0
"114","org.gjt.sp.jedit.ActionListHandler",114,11,2,0,5,31,31,7,231,2
"96","bsh.Name",96,19,1,0,19,71,91,9,1263,0
"75","org.gjt.sp.jedit.EditBus",75,11,1,0,22,29,23,8,244,0
"142","org.gjt.sp.jedit.Mode",142,12,1,0,19,32,36,12,236,1
"131","org.gjt.sp.jedit.search.SearchFileSet",131,5,1,0,9,5,10,5,5,0
"88","gnu.regexp.RETokenEndSub",88,3,2,0,4,5,3,0,20,0
"136","bsh.BSHThrowStatement",136,2,2,0,7,7,1,1,30,0
"91","org.gjt.sp.jedit.gui.RecentFilesMenu",91,2,8,0,11,23,1,2,100,1
"103","bsh.Token",103,3,1,0,5,4,3,2,23,0
"128","org.gjt.sp.jedit.gui.IOProgressMonitor",128,5,6,0,10,33,4,2,152,1
"139","org.gjt.sp.jedit.search.DirectoryListSet",139,8,2,0,8,34,12,5,223,0
"127","org.gjt.sp.jedit.syntax.ParserRuleSet",127,17,1,0,8,22,100,17,199,1
"77","org.gjt.sp.jedit.options.GutterOptionPane",77,3,6,0,4,27,1,3,238,0
"115","org.gjt.sp.jedit.gui.MarkersMenu",115,2,8,0,9,25,1,2,127,2
"112","org.gjt.sp.jedit.options.ToolBarOptionPane",112,13,6,0,14,75,44,1,517,1
"140","org.gjt.sp.jedit.gui.StatusBar",140,14,5,0,20,72,37,8,533,4
"81","bsh.ASCII_UCodeESC_CharStream",81,27,1,0,3,40,25,21,1277,0
"122","org.gjt.sp.jedit.options.LoadSaveOptionPane",122,5,6,0,4,35,0,3,386,1
"135","org.gjt.sp.jedit.BufferHistory",135,13,1,0,11,61,44,6,488,1
"108","bsh.BSHArguments",108,2,2,0,10,6,1,1,30,0
"111","org.gjt.sp.jedit.gui.EnhancedButton",111,3,6,0,3,13,3,3,45,0
"83","org.gjt.sp.jedit.gui.BufferSwitcher",83,4,5,0,6,16,0,2,62,0
"129","org.gjt.sp.jedit.pluginmgr.PluginListDownloadProgress",129,7,6,0,7,33,11,0,145,1
"101","org.gjt.sp.jedit.search.SearchMatcher",101,2,1,0,4,2,1,2,2,2
"95","bsh.BshClassManager",95,25,1,0,10,37,290,22,161,0
"87","bsh.LHS",87,8,1,0,15,31,0,3,356,0
"141","bsh.XThis",141,5,2,0,4,18,8,2,106,0
"97","org.gjt.sp.jedit.gui.OpenWithEncodingMenu",97,1,8,0,4,15,0,1,83,1
"90","org.gjt.sp.jedit.options.ContextAddDialog",90,10,7,0,7,56,21,4,384,0
"107","org.gjt.sp.jedit.gui.DockableWindowManager",107,18,5,0,16,62,31,16,551,8
"117","org.gjt.sp.jedit.search.HyperSearchResult",117,6,1,0,8,23,3,5,128,1
"93","gnu.regexp.REException",93,4,3,0,4,13,0,3,71,0
"126","org.gjt.sp.util.WorkThreadProgressListener",126,1,1,0,5,1,0,1,1,0
"138","bsh.BSHTernaryExpression",138,2,2,0,7,6,1,1,36,0
"144","org.gjt.sp.jedit.browser.FileCellRenderer",144,4,5,0,5,32,0,2,313,4
"145","org.gjt.sp.jedit.options.AbbrevsModel",145,10,2,0,8,29,3,8,189,0
"106","org.gjt.sp.jedit.browser.BrowserIORequest",106,7,2,0,7,27,0,3,500,5
