"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"562","org.apache.tools.zip.ZipLong",562,10,1,0,3,11,15,10,154,1
"280","org.apache.tools.ant.taskdefs.Rename",280,6,3,0,5,21,3,5,104,0
"162","org.apache.tools.ant.taskdefs.optional.vss.MSVSSADD",162,8,4,0,6,26,22,6,95,0
"207","org.apache.tools.ant.types.resources.Intersect",207,3,4,0,3,19,3,1,83,0
"362","org.apache.tools.ant.taskdefs.optional.perforce.P4Submit",362,7,4,0,4,14,15,5,56,0
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","org.apache.tools.ant.taskdefs.optional.junit.Constants",183,1,1,0,0,2,0,1,16,1
"558","org.apache.tools.ant.dispatch.DispatchTask",558,4,3,1,3,5,4,4,17,0
"482","org.apache.tools.ant.taskdefs.ConditionTask",482,5,3,0,4,18,0,5,148,0
"444","org.apache.tools.ant.taskdefs.StreamPumper",444,10,1,0,5,18,21,8,182,1
"659","org.apache.tools.ant.taskdefs.rmic.SunRmic",659,2,2,0,8,21,1,2,167,2
"480","org.apache.tools.ant.types.FileSet",480,6,4,5,64,17,15,5,67,0
"NA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","org.apache.tools.ant.DefaultLogger",326,18,1,4,14,42,113,12,356,3
"NA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","org.apache.tools.ant.taskdefs.cvslib.ChangeLogParser",310,12,1,0,4,41,0,3,381,1
"226","org.apache.tools.ant.TypeAdapter",226,5,1,0,7,5,10,5,5,0
"173","org.apache.tools.ant.util.optional.JavaxScriptRunner",173,6,2,0,4,34,11,5,236,1
"722","org.apache.tools.ant.types.resources.comparators.DelegatedResourceComparator",722,6,4,0,7,27,0,4,169,0
"559","org.apache.tools.ant.types.resources.PropertyResource",559,10,4,0,6,32,41,9,134,0
"582","org.apache.tools.ant.types.EnumeratedAttribute",582,9,1,59,62,22,28,8,130,0
"320","org.apache.tools.ant.taskdefs.MakeUrl",320,14,3,0,7,46,27,8,372,0
"20","org.apache.tools.ant.types.resources.comparators.FileSystem",20,3,4,0,5,11,1,1,41,1
"247","org.apache.tools.ant.taskdefs.Concat",247,29,3,0,25,109,268,20,879,4
"184","org.apache.tools.ant.taskdefs.Available",184,22,3,0,12,71,163,17,783,1
