name,id,wmc,dit,noc,cbo,rfc,lcom,npm,loc,bug
org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory,1,3,1,0,10,18,3,1,106,0
org.apache.tools.ant.taskdefs.optional.perforce.FStatP4OutputHandler,2,5,2,0,4,13,0,4,76,0
org.apache.tools.ant.taskdefs.optional.junit.OutErrSummaryJUnitResultFormatter,3,1,2,0,1,3,0,1,7,0
org.apache.tools.ant.taskdefs.optional.perforce.P4HandlerAdapter,4,8,1,9,13,20,12,8,101,0
org.apache.tools.ant.taskdefs.WaitFor,5,9,3,0,5,26,16,7,185,1
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantCPInfo,6,3,2,5,7,4,1,2,16,0
org.apache.tools.zip.AsiExtraField,7,20,1,0,4,40,130,18,345,1
org.apache.tools.ant.types.resources.selectors.Date,8,13,1,0,7,28,20,12,183,0
org.apache.tools.ant.util.facade.FacadeTaskHelper,9,9,1,0,5,19,8,9,119,0
org.apache.tools.ant.types.selectors.DepthSelector,10,7,5,0,9,25,0,7,255,0
org.apache.tools.ant.taskdefs.optional.dotnet.JSharp,11,9,6,0,5,17,26,6,71,0
org.apache.tools.ant.taskdefs.LogStreamHandler,12,3,2,0,19,10,3,3,38,0
org.apache.tools.ant.input.InputHandler,13,1,1,0,10,1,0,1,1,0
org.apache.tools.zip.JarMarker,14,9,1,0,3,12,20,8,54,0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMkbl,15,19,4,0,7,40,129,16,252,0
org.apache.tools.ant.types.resources.Restrict,16,10,4,2,13,26,0,9,110,0
org.apache.tools.ant.DemuxInputStream,17,3,2,0,2,5,0,3,34,0
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc,18,20,1,0,7,79,136,10,835,0
org.apache.tools.zip.ZipExtraField,19,6,1,0,8,6,15,6,6,0
org.apache.tools.ant.types.resources.comparators.FileSystem,20,3,4,0,5,11,1,1,41,1
org.apache.tools.ant.taskdefs.condition.TypeFound,21,5,2,0,7,14,6,4,70,0
org.apache.tools.ant.taskdefs.optional.perforce.P4OutputHandler,22,1,1,0,1,1,0,1,1,0
org.apache.tools.ant.taskdefs.email.Message,23,11,2,0,7,26,0,11,181,0
org.apache.tools.ant.taskdefs.optional.vss.MSVSSCP,24,3,4,0,5,15,3,2,51,0
org.apache.tools.ant.taskdefs.condition.IsSet,25,3,2,0,5,7,1,3,29,0
org.apache.tools.ant.taskdefs.optional.Rpm,26,16,3,0,15,65,76,13,483,1
org.apache.tools.ant.types.selectors.BaseExtendSelector,27,4,4,8,12,5,0,3,18,0
org.apache.tools.ant.taskdefs.optional.junit.XMLJUnitResultFormatter,28,15,1,0,11,65,75,11,443,0
org.apache.tools.ant.taskdefs.optional.net.SetProxy,29,11,3,0,3,24,17,10,309,0
org.apache.tools.ant.util.KeepAliveInputStream,30,2,3,0,1,3,1,2,7,0
org.apache.tools.ant.taskdefs.CallTarget,31,15,3,0,9,41,0,15,204,0
org.apache.tools.ant.taskdefs.DefBase,32,14,4,3,11,29,85,11,108,0
org.apache.tools.zip.ZipOutputStream,33,27,3,0,8,101,157,15,1286,1
org.apache.tools.ant.taskdefs.optional.perforce.P4Label,34,5,4,0,8,23,4,5,249,0
org.apache.tools.ant.taskdefs.XSLTLiaison,35,3,1,0,2,3,3,3,4,0
org.apache.tools.ant.types.resources.BCFileSet,36,4,5,0,5,19,6,4,57,0
org.apache.tools.ant.taskdefs.optional.extension.ExtraAttribute,37,6,1,0,2,11,3,4,53,0
org.apache.tools.ant.taskdefs.optional.vss.MSVSS,38,55,3,8,20,106,1313,9,1133,0
org.apache.tools.ant.util.regexp.Jdk14RegexpRegexp,39,3,2,0,4,19,3,2,136,0
org.apache.tools.ant.taskdefs.condition.AntVersion,40,8,1,0,4,22,0,6,169,0
org.apache.tools.ant.util.LazyFileOutputStream,41,11,2,0,1,23,39,10,136,0
org.apache.tools.ant.util.LoaderUtils,42,10,1,0,10,29,43,8,91,0
org.apache.tools.ant.loader.AntClassLoader2,43,1,3,0,1,2,0,1,4,0
org.apache.tools.ant.taskdefs.rmic.ForkingSunRmic,44,3,2,1,12,22,3,2,72,0
org.apache.tools.ant.util.StringUtils,45,9,1,0,32,36,36,7,281,0
org.apache.tools.ant.types.Parameter,46,7,1,0,24,8,3,7,43,0
org.apache.tools.ant.util.regexp.Jdk14RegexpMatcher,47,9,1,1,4,19,30,7,130,0
org.apache.tools.ant.DirectoryScanner,48,63,1,2,61,144,1603,31,2303,3
org.apache.tools.ant.taskdefs.LogOutputStream,49,6,3,2,20,13,7,3,56,0
org.apache.tools.ant.taskdefs.optional.jsp.JspMangler,50,2,1,0,6,2,1,2,2,0
org.apache.tools.ant.taskdefs.optional.dotnet.Ildasm,51,22,3,0,5,47,159,19,365,0
org.apache.tools.ant.taskdefs.Apt,52,17,5,0,9,34,118,17,137,1
org.apache.tools.ant.taskdefs.MacroInstance,53,12,3,0,15,99,18,8,804,2
org.apache.tools.ant.DemuxOutputStream,54,10,2,0,3,30,27,5,245,0
org.apache.tools.ant.types.ZipScanner,55,2,3,0,9,20,1,1,128,1
org.apache.tools.ant.taskdefs.ExecTask,56,43,3,1,25,120,451,30,920,1
org.apache.tools.ant.types.DataType,57,22,2,28,37,44,183,7,271,0
org.apache.tools.ant.types.ArchiveFileSet,58,34,5,2,15,67,295,29,586,3
org.apache.tools.ant.taskdefs.rmic.XNewRmic,59,2,3,0,3,4,1,1,19,0
org.apache.tools.ant.taskdefs.optional.junit.Enumerations,60,3,1,0,3,6,3,2,16,0
org.apache.tools.ant.taskdefs.Nice,61,4,3,0,3,16,2,4,76,0
org.apache.tools.ant.taskdefs.optional.Script,62,11,3,0,8,26,0,11,76,0
org.apache.tools.ant.taskdefs.optional.junit.JUnitVersionHelper,63,4,1,0,7,20,4,2,187,1
org.apache.tools.ant.AntClassLoader,64,56,2,2,51,169,1200,35,1842,6
org.apache.tools.ant.types.selectors.DifferentSelector,65,5,5,0,8,16,0,3,105,0
org.apache.tools.ant.taskdefs.optional.junit.DOMUtil,66,5,1,0,3,41,10,4,241,0
org.apache.tools.ant.types.selectors.modifiedselector.DigestAlgorithm,67,7,1,0,3,26,0,7,218,0
org.apache.tools.ant.taskdefs.optional.windows.Attrib,68,17,5,0,6,35,130,12,207,1
org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter,69,4,1,0,6,33,0,2,157,0
org.apache.tools.ant.taskdefs.optional.extension.JarLibDisplayTask,70,5,3,0,6,26,0,4,141,0
org.apache.tools.ant.taskdefs.optional.ssh.SSHExec,71,9,4,0,11,54,10,7,345,4
org.apache.tools.ant.taskdefs.TaskOutputStream,72,3,2,0,1,10,0,1,67,0
org.apache.tools.ant.types.resources.selectors.Size,73,6,1,0,3,10,0,6,52,0
org.apache.tools.ant.types.selectors.MajoritySelector,74,4,5,0,7,15,0,4,77,0
org.apache.tools.ant.taskdefs.condition.IsFailure,75,4,1,0,2,6,0,4,19,0
org.apache.tools.ant.taskdefs.optional.junit.XalanExecutor,76,9,1,1,4,32,34,0,145,0
org.apache.tools.ant.types.selectors.SizeSelector,77,8,5,0,11,31,0,8,329,0
org.apache.tools.ant.taskdefs.optional.Cab,78,15,4,0,14,83,47,8,566,0
org.apache.tools.ant.util.TimeoutObserver,79,1,1,0,3,1,0,1,1,0
org.apache.tools.ant.util.DOMElementWriter,80,17,1,0,8,67,90,13,878,0
org.apache.tools.ant.types.resources.CompressedResource,81,24,4,2,7,50,270,20,250,0
org.apache.tools.ant.taskdefs.optional.depend.ClassFile,82,4,1,0,8,20,0,4,106,0
org.apache.tools.zip.ZipEntry,83,27,2,0,11,53,229,23,405,1
org.apache.tools.ant.types.AntFilterReader,84,10,3,0,8,32,15,10,166,0
org.apache.tools.ant.DynamicAttribute,85,1,1,0,4,1,0,1,1,0
org.apache.tools.ant.types.selectors.ExtendSelector,86,10,4,0,15,36,3,10,249,0
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheck,87,11,4,3,12,41,19,9,240,0
org.apache.tools.ant.taskdefs.JikesOutputParser,88,12,1,0,3,22,44,5,156,0
org.apache.tools.ant.taskdefs.LoadProperties,89,12,3,0,14,58,0,11,303,1
org.apache.tools.ant.taskdefs.condition.Not,90,2,3,0,3,8,1,2,33,0
org.apache.tools.ant.taskdefs.optional.ReplaceRegExp,91,15,3,0,10,77,41,12,725,3
org.apache.tools.ant.taskdefs.BuildNumber,92,7,3,0,4,38,0,3,258,0
org.apache.tools.ant.BuildLogger,93,4,1,0,6,4,6,4,4,0
org.apache.tools.ant.types.resources.comparators.Reverse,94,4,4,0,5,8,4,3,42,0
org.apache.tools.ant.types.resources.ArchiveResource,95,21,4,2,9,55,162,18,361,0
org.apache.tools.ant.types.resources.First,96,4,4,0,3,12,0,3,55,0
org.apache.tools.ant.taskdefs.email.Mailer,97,19,1,2,9,21,145,18,143,1
org.apache.tools.ant.taskdefs.optional.junit.XMLResultAggregator,98,12,3,0,11,75,44,7,455,0
org.apache.tools.ant.util.regexp.RegexpMatcher,99,6,1,0,9,6,15,6,10,0
org.apache.tools.ant.types.selectors.OrSelector,100,3,5,0,7,14,3,3,52,0
org.apache.tools.ant.types.spi.Service,101,7,2,0,5,27,0,7,115,0
org.apache.tools.ant.taskdefs.Pack,102,14,3,2,8,38,83,8,220,2
org.apache.tools.ant.taskdefs.optional.ejb.DescriptorHandler,103,11,2,3,11,39,7,10,605,0
org.apache.tools.ant.taskdefs.optional.jlink.jlink,104,17,1,0,2,81,100,9,654,0
org.apache.tools.ant.taskdefs.optional.perforce.SimpleP4OutputHandler,105,2,2,1,17,14,0,2,103,0
org.apache.tools.ant.types.Mapper,106,15,3,0,25,44,45,13,311,0
org.apache.tools.ant.Task,107,29,2,102,184,66,346,19,375,0
org.apache.tools.ant.types.resources.Files,108,34,4,0,10,92,39,29,710,1
org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,109,4,1,0,2,13,6,4,45,0
org.apache.tools.ant.util.SourceFileScanner,110,7,1,0,15,23,5,6,148,0
org.apache.tools.ant.taskdefs.optional.i18n.Translate,111,19,4,0,8,84,103,14,1034,0
org.apache.tools.ant.util.optional.WeakishReference12,112,1,3,0,1,2,0,1,5,0
org.apache.tools.ant.types.selectors.FilenameSelector,113,8,5,0,10,23,0,8,197,0
org.apache.tools.ant.taskdefs.optional.junit.FormatterElement,114,15,1,0,7,34,75,11,286,0
org.apache.tools.ant.util.regexp.RegexpMatcherFactory,115,6,1,1,8,22,15,3,163,0
org.apache.tools.ant.taskdefs.Mkdir,116,4,3,0,3,18,4,3,111,0
org.apache.tools.ant.BuildListener,117,7,1,0,16,7,21,7,7,1
org.apache.tools.ant.taskdefs.optional.jlink.ClassNameReader,118,2,1,0,2,8,1,2,48,0
org.apache.tools.ant.taskdefs.optional.vss.MSVSSConstants,119,0,1,0,1,0,0,0,48,0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMklbtype,120,24,4,0,7,43,222,20,309,0
org.apache.tools.ant.taskdefs.optional.pvcs.PvcsProject,121,3,1,0,1,4,1,3,14,0
org.apache.tools.ant.filters.StripJavaComments,122,4,4,0,3,7,0,4,161,0
org.apache.tools.ant.taskdefs.Taskdef,123,1,7,0,1,7,0,1,40,0
org.apache.tools.ant.util.LineTokenizer,124,4,2,0,8,10,0,4,125,0
org.apache.tools.ant.filters.ReplaceTokens,125,14,5,0,7,49,7,7,488,1
org.apache.tools.ant.PathTokenizer,126,3,1,0,3,18,0,3,204,0
org.apache.tools.ant.filters.BaseParamFilterReader,127,4,4,12,15,7,4,3,22,0
org.apache.tools.ant.types.selectors.MappingSelector,128,8,4,2,9,24,8,6,143,0
org.apache.tools.ant.util.ConcatFileInputStream,129,9,2,0,4,19,10,6,159,0
org.apache.tools.ant.types.resources.selectors.And,130,3,4,0,4,9,3,3,27,0
org.apache.tools.ant.taskdefs.optional.javacc.JJTree,131,22,3,0,13,80,59,17,678,0
org.apache.tools.ant.taskdefs.optional.dotnet.DotnetBaseMatchingTask,132,11,4,2,8,38,45,6,202,0
org.apache.tools.ant.filters.ExpandProperties,133,4,4,0,4,13,0,4,87,0
org.apache.tools.ant.types.selectors.modifiedselector.PropertiesfileCache,134,12,1,0,2,42,0,12,234,0
