"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","org.gjt.sp.jedit.search.SearchAndReplace",72,31,1,0,34,108,197,28,1228,9
"NA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","org.gjt.sp.jedit.gui.AddAbbrevDialog",226,6,6,0,7,35,5,1,229,0
"79","bsh.BSHArrayInitializer",79,4,2,0,10,23,6,2,175,0
"155","org.gjt.sp.jedit.gui.GrabKeyDialog",155,21,6,0,7,71,170,5,508,1
"NA5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","bsh.NameSpace",220,51,1,1,44,135,1139,35,1644,0
"NA7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","org.gjt.sp.jedit.options.ColorOptionPane",42,8,6,0,5,31,20,1,123,2
"NA9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
