"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"238","org.apache.poi.hssf.record.RefModeRecord",238,11,2,0,6,20,43,9,104,1
"9","org.apache.poi.hssf.record.RkRec",9,1,1,0,1,2,0,0,6,0
"192","org.apache.poi.hssf.eventmodel.EventRecordFactory",192,10,1,0,14,59,15,6,732,1
"245","org.apache.poi.hpsf.ReadingNotSupportedException",245,1,6,0,2,2,0,1,6,0
"124","org.apache.poi.hssf.record.DimensionsRecord",124,17,2,0,6,28,90,15,232,1
"77","org.apache.poi.hssf.record.formula.RefAPtg",77,5,3,0,4,13,10,4,40,0
"291","org.apache.poi.hssf.record.HeaderRecord",291,14,2,0,9,30,55,12,258,2
"146","org.apache.poi.ddf.EscherShapePathProperty",146,1,3,0,4,2,0,1,13,1
"267","org.apache.poi.hssf.record.formula.MultiplyPtg",267,11,2,0,5,16,55,11,95,0
"139","org.apache.poi.hssf.record.PColor",139,3,1,0,1,9,0,3,86,0
"93","org.apache.poi.hssf.usermodel.HSSFCellStyle",93,43,1,0,7,90,0,41,397,2
"163","org.apache.poi.hssf.record.ChartRecord",163,17,2,0,6,29,74,15,269,1
"304","org.apache.poi.poifs.property.Parent",304,4,1,0,3,4,6,4,4,0
"286","org.apache.poi.poifs.storage.BATBlock",286,12,2,0,6,18,54,8,222,1
"20","org.apache.poi.poifs.storage.PropertyBlock",20,4,2,0,5,11,4,2,108,1
"229","org.apache.poi.hssf.record.InterfaceEndRecord",229,8,2,0,6,15,28,6,60,1
"23","org.apache.poi.hpsf.HPSFRuntimeException",23,8,4,4,11,16,22,8,66,0
"196","org.apache.poi.hssf.usermodel.HSSFDateUtil",196,11,1,0,2,24,53,6,241,3
"185","org.apache.poi.poifs.property.RootProperty",185,3,3,0,8,10,3,1,27,1
"27","org.apache.poi.hssf.eventusermodel.HSSFUserException",27,5,3,0,3,7,4,5,29,0
"193","org.apache.poi.hssf.usermodel.HSSFFont",193,23,1,0,7,48,0,22,167,1
"112","org.apache.poi.hssf.record.formula.DividePtg",112,9,2,0,5,13,36,9,64,0
"19","org.apache.poi.hssf.record.IterationRecord",19,11,2,0,6,20,35,9,112,1
"128","org.apache.poi.poifs.filesystem.BATManaged",128,2,1,0,5,2,1,2,2,0
"179","org.apache.poi.hpsf.NoPropertySetStreamException",179,4,4,0,3,8,6,4,20,0
"246","org.apache.poi.hssf.record.BottomMarginRecord",246,11,2,0,7,21,35,9,107,1
"309","org.apache.poi.hssf.usermodel.HSSFPalette",309,6,1,0,7,12,0,5,175,1
"313","org.apache.poi.hssf.record.NumberRecord",313,24,2,0,11,39,234,22,365,1
"228","org.apache.poi.hpsf.MutableProperty",228,6,2,1,7,14,15,6,67,0
"49","org.apache.poi.hssf.record.DSFRecord",49,10,2,0,6,19,39,8,91,1
"320","org.apache.poi.hssf.record.DateWindow1904Record",320,10,2,0,6,19,39,8,91,1
"153","org.apache.poi.hssf.record.formula.MemAreaPtg",153,11,2,1,5,16,21,11,86,2
"332","org.apache.poi.hpsf.DocumentSummaryInformation",332,51,3,0,11,99,1275,49,564,0
"80","org.apache.poi.hssf.record.formula.RefNAPtg",80,6,3,0,5,9,15,5,31,0
"44","org.apache.poi.hssf.eventmodel.ERFListener",44,1,1,0,4,1,0,1,1,0
"241","org.apache.poi.hssf.record.SaveRecalcRecord",241,11,2,0,6,20,35,9,112,1
"13","org.apache.poi.ddf.EscherRGBProperty",13,5,3,0,4,6,0,5,35,1
"161","org.apache.poi.hpsf.IllegalVariantTypeException",161,2,5,0,3,9,1,2,33,0
"119","org.apache.poi.util.DoubleList2d",119,5,1,0,1,15,0,3,86,0
"183","org.apache.poi.hssf.record.PlotGrowthRecord",183,13,2,0,6,25,44,11,171,1
"1","org.apache.poi.poifs.storage.HeaderBlockReader",1,7,1,0,8,21,9,7,207,1
"236","org.apache.poi.ddf.UnknownEscherRecord",236,12,2,0,6,47,28,11,353,1
"230","org.apache.poi.ddf.EscherDggRecord",230,17,2,0,11,48,38,17,421,2
"106","org.apache.poi.hssf.record.LinkedDataRecord",106,21,2,0,9,45,92,19,370,1
"277","org.apache.poi.hssf.record.formula.RefErrorPtg",277,10,2,0,4,18,25,9,83,1
"131","org.apache.poi.hssf.record.HorizontalPageBreakRecord",131,4,3,0,3,7,6,4,18,1
"251","org.apache.poi.hssf.record.WriteProtectRecord",251,8,2,0,5,15,28,6,60,1
"99","org.apache.poi.hssf.record.formula.DeletedRef3DPtg",99,2,3,0,3,4,1,2,12,0
"140","org.apache.poi.hssf.record.CountryRecord",140,12,2,0,6,21,54,10,122,1
"270","org.apache.poi.poifs.filesystem.OfficeXmlFileException",270,1,5,0,1,2,0,1,5,0
"135","org.apache.poi.hssf.record.EOFRecord",135,9,2,0,7,16,36,7,67,1
"213","org.apache.poi.hssf.util.SheetReferences",213,3,1,0,3,8,0,3,32,0
"331","org.apache.poi.hssf.record.FilePassRecord",331,9,2,0,5,19,24,7,97,2
"260","org.apache.poi.ddf.EscherClientAnchorRecord",260,27,2,0,8,47,149,27,538,1
"65","org.apache.poi.util.ArrayUtil",65,3,1,0,1,10,3,3,244,0
"151","org.apache.poi.hssf.usermodel.HSSFShapeGroup",151,13,2,0,11,26,4,13,174,0
"253","org.apache.poi.hssf.record.AbstractEscherHolderRecord",253,22,2,4,15,54,69,17,434,6
"87","org.apache.poi.hssf.record.formula.MemFuncPtg",87,10,3,0,6,13,3,10,69,1
"311","org.apache.poi.hssf.record.BookBoolRecord",311,10,2,0,6,19,33,8,91,1
"212","org.apache.poi.hssf.record.formula.IntPtg",212,10,2,0,5,18,39,9,75,1
"287","org.apache.poi.ddf.EscherBSERecord",287,33,2,0,9,63,326,33,684,2
"318","org.apache.poi.ddf.EscherSpgrRecord",318,15,2,0,7,32,43,15,253,1
"141","org.apache.poi.hssf.record.formula.Ptg",141,14,1,19,70,91,85,14,579,1
"222","org.apache.poi.hssf.record.AxisRecord",222,19,2,0,6,33,95,17,321,1
"307","org.apache.poi.hssf.record.FooterRecord",307,14,2,0,9,30,55,12,259,2
"327","org.apache.poi.hssf.record.formula.NumberPtg",327,10,2,0,5,18,39,9,75,1
"328","org.apache.poi.hssf.record.formula.AreaVPtg",328,5,3,0,4,17,10,4,52,0
"102","org.apache.poi.hssf.record.formula.AttrPtg",102,25,2,0,8,40,106,25,452,1
"314","org.apache.poi.ddf.DefaultEscherRecordFactory",314,4,1,1,11,27,4,2,214,2
"254","org.apache.poi.ddf.EscherBitmapBlip",254,11,3,0,9,33,0,11,241,2
"200","org.apache.poi.hssf.record.formula.AreaErrPtg",200,6,3,0,4,34,13,5,194,0
"86","org.apache.poi.hssf.record.SeriesTextRecord",86,17,2,0,7,32,64,15,270,1
"108","org.apache.poi.util.ShortField",108,11,1,0,5,21,9,11,92,0
"189","org.apache.poi.hssf.record.aggregates.FormulaRecordAggregate",189,25,2,0,8,45,0,23,181,5
"174","org.apache.poi.poifs.property.PropertyConstants",174,0,1,0,0,0,0,0,4,0
"116","org.apache.poi.hssf.eventusermodel.AbortableHSSFListener",116,3,1,0,4,4,3,3,7,1
"284","org.apache.poi.util.SystemOutLogger",284,4,2,0,1,12,4,4,44,2
"197","org.apache.poi.hssf.record.PrintHeadersRecord",197,11,2,0,6,20,35,9,113,1
"157","org.apache.poi.ddf.EscherRecord",157,20,1,14,37,36,164,18,141,2
"184","org.apache.poi.hpsf.IllegalPropertySetDataException",184,4,5,0,4,8,6,4,20,0
"322","org.apache.poi.hssf.record.LinkedDataFormulaField",322,9,1,0,5,29,0,9,139,0
"30","org.apache.poi.hssf.record.formula.ConcatPtg",30,9,2,0,5,13,36,9,60,0
"219","org.apache.poi.hssf.record.SSTRecordHeader",219,2,1,0,3,5,0,2,88,0
"240","org.apache.poi.hssf.record.FormatRecord",240,15,2,0,8,31,55,13,240,1
"262","org.apache.poi.hssf.record.RKRecord",262,23,2,0,9,48,221,21,378,1
"91","org.apache.poi.hpsf.VariantSupport",91,8,2,0,10,61,22,6,725,1
"89","org.apache.poi.hssf.record.CustomField",89,4,1,0,2,4,6,4,4,1
"63","org.apache.poi.hssf.record.formula.AreaAPtg",63,5,3,0,4,17,10,4,52,0
"103","org.apache.poi.hpsf.Thumbnail",103,8,1,0,2,12,8,7,129,1
"47","org.apache.poi.hssf.record.formula.BoolPtg",47,10,2,0,4,13,3,9,83,0
"96","org.apache.poi.hpsf.PropertySetFactory",96,4,1,0,11,16,6,4,83,0
"54","org.apache.poi.hssf.record.BoolErrRecord",54,29,2,0,7,49,298,27,476,2
"295","org.apache.poi.hssf.eventusermodel.HSSFEventFactory",295,6,1,0,9,15,15,5,128,4
"308","org.apache.poi.util.IntList2d",308,6,1,0,1,16,0,4,108,0
"57","org.apache.poi.hssf.record.GridsetRecord",57,11,2,0,6,20,35,9,113,1
"315","org.apache.poi.ddf.NullEscherSerializationListener",315,3,1,0,5,4,3,3,8,1
"317","org.apache.poi.hpsf.CustomProperty",317,7,3,0,4,14,9,7,85,0
"306","org.apache.poi.hpsf.MutableSection",306,24,2,0,15,86,116,21,781,0
"234","org.apache.poi.hssf.record.ContinueRecord",234,11,2,0,7,21,25,9,121,2
"336","org.apache.poi.hssf.record.formula.ErrPtg",336,7,2,0,3,9,9,7,69,0
"64","org.apache.poi.hssf.model.ConvertAnchor",64,2,1,0,8,37,1,2,139,2
"294","org.apache.poi.hssf.record.formula.OperationPtg",294,5,2,21,24,6,10,5,13,0
