name,Id,wmc,dit,noc,cbo,rfc,lcom,npm,loc,bug
bsh.BlockNameSpace,266,3,2,0,4,10,3,2,40,0
bsh.NameSource,268,2,1,0,2,2,1,2,2,0
bsh.CommandLineReader,270,4,3,0,1,8,4,4,82,0
bsh.CallStack,271,11,1,0,39,25,0,11,135,0
bsh.ReturnControl,33,1,1,0,10,2,0,1,12,0
bsh.BSHSwitchStatement,36,2,2,0,10,9,1,2,106,0
bsh.BSHType,4,6,2,0,16,14,3,5,92,0
bsh.BSHBinaryExpression,44,4,2,0,12,21,6,1,279,0
bsh.This,45,11,1,2,14,30,15,7,182,0
bsh.BSHTryStatement,46,2,2,0,12,22,1,1,185,0
bsh.BSHWhileStatement,47,2,2,0,10,7,1,1,79,0
org.gjt.sp.jedit.proto.jeditresource.Handler,48,2,2,0,1,5,1,2,14,0
bsh.Primitive,53,45,1,0,41,77,898,28,1472,0
bsh.Reflect,54,36,1,0,23,109,630,14,1557,0
bsh.ParseException,102,6,3,0,3,19,3,5,387,0
bsh.Token,103,3,1,0,5,4,3,2,23,0
bsh.BSHArguments,108,2,2,0,10,6,1,1,30,0
bsh.ReflectError,113,2,3,0,7,4,1,2,9,0
bsh.BSHImportDeclaration,119,2,2,0,10,9,1,1,36,0
bsh.BSHAssignment,120,3,2,0,11,18,3,1,273,0
bsh.SimpleNode,123,19,1,35,50,30,147,19,240,0
bsh.BSHForStatement,124,2,2,0,12,10,1,1,137,0
bsh.BSHVariableDeclarator,125,2,2,0,10,9,1,1,40,0
bsh.Parser,132,399,1,0,47,487,0,82,23350,0
bsh.TokenMgrError,134,6,3,0,2,19,15,4,184,0
bsh.BSHThrowStatement,136,2,2,0,7,7,1,1,30,0
bsh.NameSpace,220,51,1,1,44,135,1139,35,1644,0
bsh.ParserConstants,221,1,1,0,12,1,0,0,617,0
bsh.JJTParserState,231,12,1,0,3,25,0,0,218,0
bsh.StringUtil,232,5,1,0,1,24,10,5,206,0
bsh.BSHUnaryExpression,243,5,2,0,11,33,6,1,204,0
bsh.BSHReturnStatement,244,2,2,0,9,7,1,1,28,0
bsh.BSHMethodInvocation,251,2,2,0,12,17,1,1,63,0
bsh.BSHReturnType,253,2,2,0,8,5,1,1,19,0
bsh.BSHStatementExpressionList,254,2,2,0,7,6,1,1,28,0
bsh.BshMethod,255,4,1,0,13,20,0,4,301,0
bsh.TargetError,248,11,4,0,18,26,13,11,171,0
bsh.BSHCastExpression,238,6,2,0,16,45,15,6,280,0
bsh.BSHMethodDeclaration,197,3,2,0,11,14,1,2,134,0
bsh.BSHSwitchLabel,199,2,2,0,7,5,1,2,22,0
bsh.BSHPrimarySuffix,202,5,2,0,16,35,10,1,256,0
bsh.BSHPrimitiveType,204,2,2,0,4,3,1,1,10,0
bsh.BSHIfStatement,211,3,2,0,11,10,3,2,79,0
bsh.EvalError,150,11,3,2,51,20,0,9,137,0
bsh.ConsoleInterface,156,6,1,0,1,6,15,6,6,0
bsh.BSHBlock,157,3,2,0,14,10,3,2,63,0
bsh.BSHFormalParameters,158,2,2,0,9,6,1,1,54,0
bsh.ReflectManager,159,4,1,0,3,12,6,4,37,0
bsh.BSHPrimaryExpression,161,2,2,0,8,8,1,1,50,0
bsh.BSHTypedVariableDeclaration,168,3,2,0,11,13,3,1,101,0
bsh.BSHArrayDimensions,6,4,2,0,10,21,2,3,174,0
bsh.BSHLHSPrimarySuffix,12,5,2,0,14,27,10,1,182,0
bsh.Interpreter,16,51,1,0,58,132,925,42,1458,0
bsh.BSHLHSPrimaryExpression,94,2,2,0,11,9,1,1,65,0
bsh.BshClassManager,95,25,1,0,10,37,290,22,161,0
bsh.LHS,87,8,1,0,15,31,0,3,356,0
bsh.Capabilities,57,7,1,0,5,12,13,6,64,0
bsh.ClassPathException,59,1,4,0,3,2,0,1,5,0
bsh.ParserTreeConstants,71,1,1,0,2,1,0,0,186,0
bsh.ParserTokenManager,73,50,1,0,5,66,3,6,6259,0
bsh.BSHArrayInitializer,79,4,2,0,10,23,6,2,175,0
bsh.ASCII_UCodeESC_CharStream,81,27,1,0,3,40,25,21,1277,0
bsh.commands.dir,92,6,1,0,2,40,13,5,374,0
bsh.XThis,141,5,2,0,4,18,8,2,106,0
bsh.BSHLiteral,143,5,2,0,7,20,4,2,153,0
bsh.BSHTernaryExpression,138,2,2,0,7,6,1,1,36,0
bsh.InterpreterError,186,1,4,0,16,2,0,1,5,0
bsh.BSHFormalParameter,227,3,2,0,9,7,1,1,30,0
