name,Id,wmc,dit,noc,cbo,rfc,lcom,npm,loc,bug
org.gjt.sp.jedit.Abbrevs,203,18,1,0,12,96,47,9,730,0
org.gjt.sp.jedit.AbstractOptionPane,65,10,5,15,17,27,29,5,258,1
org.gjt.sp.jedit.ActionListHandler,114,11,2,0,5,31,31,7,231,2
org.gjt.sp.jedit.Autosave,195,4,1,0,2,11,4,3,58,0
org.gjt.sp.jedit.BeanShell,166,15,1,0,26,75,73,12,736,4
org.gjt.sp.jedit.BeanShellAction,82,7,2,0,5,16,3,7,115,1
org.gjt.sp.jedit.Buffer,183,126,3,0,102,316,6941,90,5047,25
org.gjt.sp.jedit.BufferHistory,135,13,1,0,11,61,44,6,488,1
org.gjt.sp.jedit.EBComponent,22,1,1,0,31,1,0,1,1,0
org.gjt.sp.jedit.EBMessage,26,6,1,3,29,14,7,6,49,0
org.gjt.sp.jedit.EBPlugin,176,2,2,0,4,3,1,1,6,0
org.gjt.sp.jedit.EditAction,169,16,1,2,23,25,106,15,128,0
org.gjt.sp.jedit.EditBus,75,11,1,0,22,29,23,8,244,0
org.gjt.sp.jedit.EditPane,25,19,5,0,31,132,57,12,828,5
org.gjt.sp.jedit.EditPlugin,11,10,1,2,11,13,39,8,33,1
org.gjt.sp.jedit.EditServer,170,6,2,0,6,50,9,3,305,4
org.gjt.sp.jedit.GUIUtilities,21,39,1,0,70,144,725,34,1492,8
org.gjt.sp.jedit.JARClassLoader,153,14,2,0,11,88,35,8,889,4
org.gjt.sp.jedit.Macros,68,24,1,0,29,89,228,16,534,6
org.gjt.sp.jedit.Marker,213,6,1,0,8,10,0,3,57,2
org.gjt.sp.jedit.MiscUtilities,177,28,1,0,45,60,378,24,950,4
org.gjt.sp.jedit.Mode,142,12,1,0,19,32,36,12,236,1
org.gjt.sp.jedit.ModeCatalogHandler,174,6,2,0,5,28,3,4,230,1
org.gjt.sp.jedit.OptionGroup,230,9,1,0,5,20,0,9,111,0
org.gjt.sp.jedit.OptionPane,234,4,1,0,5,4,6,4,4,0
org.gjt.sp.jedit.Registers,1,14,1,0,9,45,61,11,425,0
org.gjt.sp.jedit.TextUtilities,146,9,1,0,8,39,36,9,904,5
org.gjt.sp.jedit.View,85,55,6,0,109,200,1197,40,1437,5
