name,Id,wmc,dit,noc,cbo,rfc,lcom,npm,loc,bug
org.gjt.sp.jedit.gui.AbbrevEditor,110,5,5,0,4,26,0,5,339,0
org.gjt.sp.jedit.gui.AboutDialog,165,3,7,0,4,33,3,3,176,2
org.gjt.sp.jedit.gui.AddAbbrevDialog,226,6,6,0,7,35,5,1,229,0
org.gjt.sp.jedit.gui.BeanShellErrorDialog,121,3,7,0,5,33,3,3,162,1
org.gjt.sp.jedit.gui.BufferOptions,184,15,7,0,12,91,47,3,1186,6
org.gjt.sp.jedit.gui.BufferSwitcher,83,4,5,0,6,16,0,2,62,0
org.gjt.sp.jedit.gui.CloseDialog,28,14,7,0,7,54,65,4,313,3
org.gjt.sp.jedit.gui.CompleteWord,196,6,5,0,5,34,0,2,129,1
org.gjt.sp.jedit.gui.CurrentDirectoryMenu,39,2,8,0,10,30,1,2,175,3
org.gjt.sp.jedit.gui.DefaultInputHandler,154,12,3,0,6,52,8,10,501,5
org.gjt.sp.jedit.gui.DockableWindow,194,2,1,0,12,2,1,2,3,0
org.gjt.sp.jedit.gui.DockableWindowContainer,9,5,1,0,5,5,10,5,5,0
org.gjt.sp.jedit.gui.DockableWindowManager,107,18,5,0,16,62,31,16,551,8
org.gjt.sp.jedit.gui.EditAbbrevDialog,34,5,6,0,6,39,0,2,210,0
org.gjt.sp.jedit.gui.EnhancedButton,111,3,6,0,3,13,3,3,45,0
org.gjt.sp.jedit.gui.EnhancedCheckBoxMenuItem,259,7,7,0,5,38,9,4,210,2
org.gjt.sp.jedit.gui.EnhancedDialog,60,3,6,16,19,13,3,3,59,0
org.gjt.sp.jedit.gui.EnhancedMenu,193,1,7,6,8,21,0,1,93,0
org.gjt.sp.jedit.gui.EnhancedMenuItem,51,5,6,0,5,33,2,3,191,2
org.gjt.sp.jedit.gui.FontSelector,207,3,6,0,5,18,3,1,71,0
org.gjt.sp.jedit.gui.GrabKeyDialog,155,21,6,0,7,71,170,5,508,1
org.gjt.sp.jedit.gui.HelpViewer,17,18,6,0,21,124,117,6,762,5
org.gjt.sp.jedit.gui.HistoryModel,187,10,1,0,10,47,17,8,299,0
org.gjt.sp.jedit.gui.HistoryTextField,118,21,6,0,17,83,64,9,589,2
org.gjt.sp.jedit.gui.InputHandler,267,16,2,1,13,47,48,14,443,6
org.gjt.sp.jedit.gui.IOProgressMonitor,128,5,6,0,10,33,4,2,152,1
org.gjt.sp.jedit.gui.JCheckBoxList,40,8,5,0,4,33,28,7,143,0
org.gjt.sp.jedit.gui.KeyEventWorkaround,23,4,1,0,5,16,2,2,179,5
org.gjt.sp.jedit.gui.LogViewer,256,3,5,0,5,14,3,3,55,0
org.gjt.sp.jedit.gui.MacrosMenu,171,6,8,0,10,24,15,4,144,0
org.gjt.sp.jedit.gui.MarkersMenu,115,2,8,0,9,25,1,2,127,2
org.gjt.sp.jedit.gui.OpenWithEncodingMenu,97,1,8,0,4,15,0,1,83,1
org.gjt.sp.jedit.gui.OptionsDialog,173,14,7,0,24,106,69,8,708,2
org.gjt.sp.jedit.gui.PastePrevious,24,12,7,0,7,57,52,10,279,1
org.gjt.sp.jedit.gui.PluginsMenu,242,1,8,0,9,22,0,1,111,0
org.gjt.sp.jedit.gui.RecentFilesMenu,91,2,8,0,11,23,1,2,100,1
org.gjt.sp.jedit.gui.SelectLineRange,35,5,7,0,8,52,2,4,364,0
org.gjt.sp.jedit.gui.SplashScreen,190,3,5,0,4,37,1,2,138,0
org.gjt.sp.jedit.gui.StatusBar,140,14,5,0,20,72,37,8,533,4
org.gjt.sp.jedit.gui.TipOfTheDay,241,6,7,0,6,18,13,3,55,2
org.gjt.sp.jedit.gui.VariableGridLayout,76,17,1,0,1,37,100,16,691,0
org.gjt.sp.jedit.gui.ViewRegisters,192,6,7,0,8,47,9,3,311,0
