name,Id,wmc,dit,noc,cbo,rfc,lcom,npm,loc,bug
org.gjt.sp.jedit.options.AbbrevsOptionPane,27,7,6,0,9,58,5,1,300,1
org.gjt.sp.jedit.options.BrowserOptionPane,49,3,6,0,3,17,1,3,263,2
org.gjt.sp.jedit.options.ColorOptionPane,42,8,6,0,5,31,20,1,123,2
org.gjt.sp.jedit.options.ContextOptionPane,198,13,6,0,13,65,46,1,438,1
org.gjt.sp.jedit.options.DockingOptionPane,14,5,6,0,6,51,6,3,260,1
org.gjt.sp.jedit.options.EditingOptionPane,19,3,6,0,4,23,1,1,330,3
org.gjt.sp.jedit.options.GeneralOptionPane,38,3,6,0,4,34,1,1,370,0
org.gjt.sp.jedit.options.GutterOptionPane,77,3,6,0,4,27,1,3,238,0
org.gjt.sp.jedit.options.LoadSaveOptionPane,122,5,6,0,4,35,0,3,386,1
org.gjt.sp.jedit.options.ModeOptionPane,172,12,6,0,6,38,28,1,645,3
org.gjt.sp.jedit.options.PrintOptionPane,62,3,6,0,4,24,1,1,253,1
org.gjt.sp.jedit.options.ShortcutsOptionPane,191,13,6,0,11,60,50,1,361,0
org.gjt.sp.jedit.options.StyleOptionPane,78,8,6,0,6,31,20,1,123,1
org.gjt.sp.jedit.options.TextAreaOptionPane,147,3,6,0,4,24,1,3,321,0
org.gjt.sp.jedit.options.ToolBarOptionPane,112,13,6,0,14,75,44,1,517,1
