name,Id,wmc,dit,noc,cbo,rfc,lcom,npm,loc,bug
org.gjt.sp.jedit.textarea.Gutter,43,30,4,0,10,73,337,25,628,8
org.gjt.sp.jedit.textarea.JEditTextArea,20,211,4,0,59,430,11469,169,7612,45
org.gjt.sp.jedit.textarea.MarkerHighlight,164,8,1,0,8,28,6,8,160,0
org.gjt.sp.jedit.textarea.ScrollListener,109,2,1,0,3,2,1,2,2,0
org.gjt.sp.jedit.textarea.Selection,208,10,1,2,15,17,23,7,80,1
org.gjt.sp.jedit.textarea.TextAreaHighlight,175,3,1,0,5,3,3,3,3,0
org.gjt.sp.jedit.textarea.TextAreaPainter,210,45,4,0,15,122,462,39,1143,16
org.gjt.sp.jedit.textarea.TextRenderer,50,13,1,2,6,32,76,8,439,0
org.gjt.sp.jedit.textarea.TextRenderer2D,179,6,2,0,1,23,1,2,141,0
org.gjt.sp.jedit.textarea.TextRendererAWT,10,4,2,0,1,11,6,0,93,0
