"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug","fit"
"3","gnu.regexp.REMatchEnumeration",3,6,1,0,3,11,9,5,113,0,-2.12437818451166
"4","bsh.BSHType",4,6,2,0,16,14,3,5,92,0,-3.03680344706794
"5","gnu.regexp.RETokenOneOf",5,5,2,0,5,22,0,0,206,0,-1.58051721030623
"7","org.gjt.sp.jedit.options.StyleTableModel",7,8,2,0,6,19,0,6,157,0,-1.8328373629746
"8","gnu.regexp.CharIndexedString",8,4,1,0,2,7,0,3,62,0,-2.44987067106511
"9","org.gjt.sp.jedit.gui.DockableWindowContainer",9,5,1,0,5,5,10,5,5,0,-2.89869485876464
"15","org.gjt.sp.jedit.options.WindowTableModel",15,11,2,0,7,30,25,9,198,0,-0.711470674048093
"16","bsh.Interpreter",16,51,1,0,58,132,925,42,1458,0,6.05921052535877
"26","org.gjt.sp.jedit.EBMessage",26,6,1,3,29,14,7,6,49,0,-3.40681145536894
"37","org.gjt.sp.jedit.io.FavoritesVFS",37,10,2,0,5,28,13,9,230,2,-0.564991946396336
"38","org.gjt.sp.jedit.options.GeneralOptionPane",38,3,6,0,4,34,1,1,370,0,-0.077072490570206
"52","org.gjt.sp.jedit.browser.BrowserListener",52,2,1,0,4,2,1,2,2,0,-2.99527206674642
"56","org.gjt.sp.util.WorkThreadPool",56,22,1,0,12,51,129,9,593,1,-0.261340556842552
"70","org.gjt.sp.jedit.options.ColorTableModel",70,8,2,0,5,20,0,6,174,0,-1.61443615191518
"73","bsh.ParserTokenManager",73,50,1,0,5,66,3,6,6259,0,1.06322952075477
"76","org.gjt.sp.jedit.gui.VariableGridLayout",76,17,1,0,1,37,100,16,691,0,14.7009653771732
"92","bsh.commands.dir",92,6,1,0,2,40,13,5,374,0,1.52400702776118
"94","bsh.BSHLHSPrimaryExpression",94,2,2,0,11,9,1,1,65,0,0.167598176345146
"97","org.gjt.sp.jedit.gui.OpenWithEncodingMenu",97,1,8,0,4,15,0,1,83,1,0.383064194593176
"102","bsh.ParseException",102,6,3,0,3,19,3,5,387,0,1.14272756771941
"109","org.gjt.sp.jedit.textarea.ScrollListener",109,2,1,0,3,2,1,2,2,0,0.0163626003784324
"110","org.gjt.sp.jedit.gui.AbbrevEditor",110,5,5,0,4,26,0,5,339,0,1.16737891204316
"113","bsh.ReflectError",113,2,3,0,7,4,1,2,9,0,-0.00902527992854098
"116","org.gjt.sp.jedit.browser.VFSFileChooserDialog",116,10,7,0,15,74,17,5,477,4,2.02813280283732
"117","org.gjt.sp.jedit.search.HyperSearchResult",117,6,1,0,8,23,3,5,128,1,0.555656091384481
"125","bsh.BSHVariableDeclarator",125,2,2,0,10,9,1,1,40,0,0.121409033924574
"130","org.gjt.sp.jedit.msg.BufferUpdate",130,6,3,0,14,14,5,5,81,0,0.152551420196269
"131","org.gjt.sp.jedit.search.SearchFileSet",131,5,1,0,9,5,10,5,5,0,-0.0940677725288205
"133","org.gjt.sp.jedit.syntax.ParserRuleFactory",133,11,1,0,3,16,55,9,456,0,0.979353714850783
"135","org.gjt.sp.jedit.BufferHistory",135,13,1,0,11,61,44,6,488,1,1.75395523071097
"136","bsh.BSHThrowStatement",136,2,2,0,7,7,1,1,30,0,0.0999918699618587
"139","org.gjt.sp.jedit.search.DirectoryListSet",139,8,2,0,8,34,12,5,223,0,0.886753925543968
"140","org.gjt.sp.jedit.gui.StatusBar",140,14,5,0,20,72,37,8,533,4,1.91600900266808
"144","org.gjt.sp.jedit.browser.FileCellRenderer",144,4,5,0,5,32,0,2,313,4,1.20319607676477
"165","org.gjt.sp.jedit.gui.AboutDialog",165,3,7,0,4,33,3,3,176,2,0.917013147394677
"168","bsh.BSHTypedVariableDeclaration",168,3,2,0,11,13,3,1,101,0,0.291588876059852
"173","org.gjt.sp.jedit.gui.OptionsDialog",173,14,7,0,24,106,69,8,708,2,2.80355625313318
"175","org.gjt.sp.jedit.textarea.TextAreaHighlight",175,3,1,0,5,3,3,3,3,0,-0.0169638126937674
"181","org.gjt.sp.jedit.options.StyleEditor",181,5,7,0,5,52,2,4,380,0,1.71145046211776
"186","bsh.InterpreterError",186,1,4,0,16,2,0,1,5,0,-0.170530237656467
"188","com.microstar.xml.XmlHandler",188,13,1,0,6,13,78,13,13,0,-0.279575933551681
"190","org.gjt.sp.jedit.gui.SplashScreen",190,3,5,0,4,37,1,2,138,0,0.923732485109698
"193","org.gjt.sp.jedit.gui.EnhancedMenu",193,1,7,6,8,21,0,1,93,0,0.568801402918049
"195","org.gjt.sp.jedit.Autosave",195,4,1,0,2,11,4,3,58,0,0.275171829039425
"197","bsh.BSHMethodDeclaration",197,3,2,0,11,14,1,2,134,0,0.409681971583077
"199","bsh.BSHSwitchLabel",199,2,2,0,7,5,1,2,22,0,0.0544867233582116
"202","bsh.BSHPrimarySuffix",202,5,2,0,16,35,10,1,256,0,0.931082445003187
"203","org.gjt.sp.jedit.Abbrevs",203,18,1,0,12,96,47,9,730,0,2.86205559580266
"205","org.gjt.sp.jedit.io.BufferIORequest",205,11,2,0,10,96,21,3,1272,9,4.42445816145334
"207","org.gjt.sp.jedit.gui.FontSelector",207,3,6,0,5,18,3,1,71,0,0.347882976530465
"210","org.gjt.sp.jedit.textarea.TextAreaPainter",210,45,4,0,15,122,462,39,1143,16,2.31429670073897
"212","org.gjt.sp.jedit.syntax.SyntaxStyle",212,4,1,0,10,5,0,4,28,0,0.00272647458667788
